age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
18-21,Female,India,Bachelors degree,Student,,,,advance,< 1 years
35-39,Female,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years
30-34,Male,Japan,Masters degree,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,3-5 years
18-21,Male,Indonesia,Bachelors degree,Student,,,,advance,1-2 years
40-44,Male,Japan,Bachelors degree,Other,0-49 employees,No (we do not use ML methods),"100,000-124,999",basic,20+ years
30-34,Male,United States of America,Masters degree,Data Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",intermediate,5-10 years
45-49,Male,United States of America,Bachelors degree,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",intermediate,3-5 years
35-39,Male,United States of America,Doctoral degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",advance,5-10 years
22-24,Male,United States of America,Masters degree,Student,,,,basic,1-2 years
40-44,Male,Japan,Doctoral degree,Other,0-49 employees,No (we do not use ML methods),"70,000-79,999",advance,10-20 years
22-24,Female,Japan,Bachelors degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",advance,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,advance,1-2 years
35-39,Male,United States of America,Masters degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,10-20 years
30-34,Male,Nigeria,Bachelors degree,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",advance,1-2 years
22-24,Female,Malaysia,Bachelors degree,Student,,,,advance,1-2 years
50-54,Male,Indonesia,Bachelors degree,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",advance,1-2 years
25-29,Male,Japan,Masters degree,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,< 1 years
30-34,Male,India,Masters degree,Other,250-999 employees,I do not know,"3,000-3,999",advance,< 1 years
60-69,Male,Japan,Doctoral degree,Research Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,5-10 years
60-69,Male,Chile,Masters degree,Student,,,,intermediate,3-5 years
30-34,Male,Japan,Bachelors degree,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"3,000-3,999",advance,1-2 years
35-39,Male,Australia,Masters degree,Other,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,5-10 years
30-34,Male,United States of America,Masters degree,Other,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",intermediate,5-10 years
25-29,Female,Indonesia,Professional Course,Student,,,,advance,3-5 years
30-34,Male,United States of America,Bachelors degree,Data Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",intermediate,5-10 years
22-24,Male,United States of America,Bachelors degree,Student,,,,advance,1-2 years
22-24,Male,Japan,Masters degree,Student,,,,advance,< 1 years
35-39,Male,Japan,Masters degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",basic,1-2 years
45-49,Male,Japan,Bachelors degree,Other,50-249 employees,No (we do not use ML methods),$0-999,advance,3-5 years
35-39,Male,Colombia,Masters degree,DBA/Database Engineer,250-999 employees,No (we do not use ML methods),"10,000-14,999",basic,< 1 years
50-54,Male,Argentina,Bachelors degree,Software Engineer,"> 10,000 employees",No (we do not use ML methods),"20,000-24,999",basic,10-20 years
40-44,Male,United States of America,Bachelors degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
30-34,Male,Canada,Masters degree,Other,0-49 employees,No (we do not use ML methods),"20,000-24,999",basic,< 1 years
30-34,Male,United States of America,Doctoral degree,Business Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,3-5 years
45-49,Male,New Zealand,Doctoral degree,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",intermediate,20+ years
22-24,Male,Philippines,Bachelors degree,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",advance,3-5 years
40-44,Male,Republic of Korea,Doctoral degree,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",advance,5-10 years
18-21,Male,China,Bachelors degree,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",basic,10-20 years
40-44,Male,India,Professional Course,Business Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,5-10 years
25-29,Male,Singapore,Masters degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",intermediate,3-5 years
22-24,Male,China,Doctoral degree,Student,,,,basic,5-10 years
30-34,Male,Malaysia,Masters degree,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",advance,3-5 years
35-39,Male,United States of America,Doctoral degree,Student,,,,advance,3-5 years
40-44,Male,Malaysia,Doctoral degree,Student,,,,basic,5-10 years
18-21,Male,India,Masters degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,1-2 years
50-54,Male,Japan,Professional Course,Student,,,,advance,1-2 years
40-44,Female,Singapore,Masters degree,Other,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",intermediate,20+ years
45-49,Male,United States of America,Professional Course,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"300,000-500,000",advance,5-10 years
25-29,Male,Belarus,Professional Course,Data Engineer,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",basic,3-5 years
25-29,Male,United States of America,Masters degree,Data Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,3-5 years
25-29,Male,Japan,Masters degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years
60-69,Male,Canada,Masters degree,Data Analyst,50-249 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",basic,20+ years
22-24,Male,United States of America,Masters degree,Data Analyst,50-249 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,1-2 years
25-29,Female,United States of America,Masters degree,Student,,,,advance,1-2 years
22-24,Female,United States of America,Masters degree,Research Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",advance,3-5 years
45-49,Male,Brazil,Bachelors degree,Data Analyst,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",advance,3-5 years
18-21,Male,Viet Nam,Bachelors degree,Student,,,,advance,1-2 years
40-44,Other,United States of America,Masters degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","300,000-500,000",advance,5-10 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999",advance,5-10 years
22-24,Male,India,Bachelors degree,Student,,,,advance,1-2 years
45-49,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,5-10 years
35-39,Male,Brazil,Masters degree,Business Analyst,"1000-9,999 employees",No (we do not use ML methods),"30,000-39,999",advance,< 1 years
22-24,Male,India,Professional Course,Student,,,,basic,I have never written code
45-49,Male,Spain,Bachelors degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,3-5 years
30-34,Female,India,Bachelors degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,3-5 years
30-34,Male,United States of America,Doctoral degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",intermediate,5-10 years
35-39,Male,Malaysia,Masters degree,Data Analyst,50-249 employees,No (we do not use ML methods),"5,000-7,499",basic,I have never written code
22-24,Male,United States of America,Masters degree,Student,,,,advance,1-2 years
30-34,Female,Taiwan,Masters degree,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",basic,< 1 years
25-29,Male,Taiwan,Masters degree,Software Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",advance,1-2 years
40-44,Female,Japan,Professional Course,Data Scientist,0-49 employees,No (we do not use ML methods),$0-999,advance,1-2 years
30-34,Male,United States of America,Doctoral degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,10-20 years
40-44,Male,Japan,Doctoral degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",advance,3-5 years
30-34,Male,Argentina,Masters degree,Product/Project Manager,0-49 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",basic,1-2 years
25-29,Male,Canada,Doctoral degree,Other,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,3-5 years
50-54,Male,Australia,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,3-5 years
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Masters degree,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,3-5 years
40-44,Male,Japan,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,3-5 years
25-29,Male,United States of America,Masters degree,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,3-5 years
22-24,Male,Japan,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years
30-34,Male,Japan,Bachelors degree,Data Analyst,50-249 employees,No (we do not use ML methods),"5,000-7,499",advance,1-2 years
25-29,Female,United States of America,Masters degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years
25-29,Male,United States of America,Masters degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,3-5 years
45-49,Male,Russia,Professional Course,Data Engineer,0-49 employees,No (we do not use ML methods),$0-999,basic,3-5 years
22-24,Male,Colombia,Professional Course,Student,,,,basic,I have never written code
22-24,Female,Canada,Bachelors degree,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,I have never written code
60-69,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,20+ years
30-34,Male,Singapore,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,3-5 years
25-29,Male,Other,Bachelors degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",intermediate,1-2 years
25-29,Male,Argentina,Masters degree,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,3-5 years
25-29,Male,Philippines,Masters degree,Data Scientist,50-249 employees,No (we do not use ML methods),"15,000-19,999",advance,1-2 years
30-34,Female,United States of America,Masters degree,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
25-29,Female,United States of America,Bachelors degree,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",advance,3-5 years
40-44,Male,United States of America,Bachelors degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999",basic,10-20 years
35-39,Male,India,Masters degree,Product/Project Manager,"> 10,000 employees",I do not know,"15,000-19,999",intermediate,< 1 years
25-29,Female,Canada,Masters degree,Product/Project Manager,0-49 employees,No (we do not use ML methods),"5,000-7,499",advance,1-2 years
30-34,Male,Brazil,Doctoral degree,Other,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"2,000-2,999",advance,5-10 years
45-49,Male,Thailand,Masters degree,Product/Project Manager,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"30,000-39,999",basic,< 1 years
40-44,Male,United States of America,Doctoral degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
35-39,Male,Hong Kong (S.A.R.),Masters degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,5-10 years
40-44,Male,United States of America,Masters degree,Other,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","300,000-500,000",advance,20+ years
22-24,Male,South Africa,Bachelors degree,Student,,,,advance,1-2 years
25-29,Male,Malaysia,Bachelors degree,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,1-2 years
22-24,Male,United States of America,Bachelors degree,Student,,,,advance,1-2 years
40-44,Male,Japan,Professional Course,Student,,,,basic,< 1 years
45-49,Male,India,Professional Course,Product/Project Manager,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",intermediate,3-5 years
40-44,Male,Chile,Masters degree,Other,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",advance,10-20 years
30-34,Male,Colombia,Masters degree,Data Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","2,000-2,999",intermediate,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,advance,1-2 years
18-21,Male,China,Bachelors degree,Student,,,,advance,< 1 years
22-24,Male,Brazil,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",advance,< 1 years
25-29,Other,Philippines,Masters degree,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,1-2 years
35-39,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
25-29,Female,Mexico,Masters degree,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,5-10 years
30-34,Male,Singapore,Masters degree,Business Analyst,250-999 employees,No (we do not use ML methods),"50,000-59,999",basic,I have never written code
45-49,Male,United States of America,Bachelors degree,Product/Project Manager,0-49 employees,No (we do not use ML methods),"100,000-124,999",advance,I have never written code
25-29,Female,United States of America,Masters degree,Software Engineer,"> 10,000 employees",No (we do not use ML methods),"125,000-149,999",advance,< 1 years
22-24,Female,South Africa,Bachelors degree,Student,,,,basic,3-5 years
22-24,Male,Viet Nam,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years
25-29,Male,United States of America,Doctoral degree,Student,,,,advance,3-5 years
22-24,Male,Other,Masters degree,Student,,,,advance,< 1 years
30-34,Female,United States of America,Masters degree,Data Analyst,50-249 employees,No (we do not use ML methods),"100,000-124,999",basic,1-2 years
25-29,Male,Germany,Doctoral degree,Research Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",advance,3-5 years
30-34,Male,Brazil,Masters degree,Software Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",basic,3-5 years
25-29,Male,Argentina,Bachelors degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",basic,1-2 years
30-34,Male,United States of America,Bachelors degree,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"50,000-59,999",intermediate,1-2 years
45-49,Female,South Korea,Doctoral degree,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,< 1 years
35-39,Male,United States of America,Masters degree,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"50,000-59,999",basic,< 1 years
30-34,Male,Brazil,Masters degree,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,1-2 years
18-21,Male,United States of America,Bachelors degree,Student,,,,basic,1-2 years
60-69,Male,Brazil,Doctoral degree,Data Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years
30-34,Male,Indonesia,Doctoral degree,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",basic,1-2 years
25-29,Male,Brazil,Masters degree,Other,50-249 employees,I do not know,$0-999,advance,< 1 years
30-34,Male,United States of America,Masters degree,Student,,,,advance,5-10 years
25-29,Male,Other,Masters degree,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,advance,< 1 years
18-21,Male,India,Bachelors degree,Software Engineer,250-999 employees,No (we do not use ML methods),"5,000-7,499",intermediate,I have never written code
18-21,Male,Singapore,Bachelors degree,Student,,,,advance,< 1 years
30-34,Male,Turkey,Bachelors degree,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,10-20 years
30-34,Male,United States of America,Masters degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,3-5 years
60-69,Female,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,20+ years
18-21,Male,India,Bachelors degree,Student,,,,advance,1-2 years
18-21,Other,China,Bachelors degree,Student,,,,basic,1-2 years
40-44,Male,Canada,Professional Course,Other,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",intermediate,3-5 years
30-34,Male,Brazil,Bachelors degree,Product/Project Manager,0-49 employees,No (we do not use ML methods),"2,000-2,999",intermediate,3-5 years
22-24,Male,India,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,intermediate,< 1 years
60-69,Male,Australia,Masters degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,3-5 years
30-34,Male,Sweden,Doctoral degree,Student,,,,basic,< 1 years
30-34,Female,Colombia,Professional Course,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,1-2 years
45-49,Male,Canada,Professional Course,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),"70,000-79,999",basic,< 1 years
40-44,Male,United States of America,Masters degree,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,1-2 years
22-24,Male,India,Masters degree,Student,,,,advance,< 1 years
40-44,Male,Australia,Masters degree,Software Engineer,50-249 employees,No (we do not use ML methods),"70,000-79,999",intermediate,< 1 years
18-21,Male,Brazil,Bachelors degree,Student,,,,advance,< 1 years
35-39,Male,India,Doctoral degree,Research Scientist,50-249 employees,No (we do not use ML methods),"2,000-2,999",advance,< 1 years
25-29,Male,India,Professional Course,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,3-5 years
40-44,Male,United States of America,Masters degree,Business Analyst,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",basic,3-5 years
50-54,Female,Singapore,Bachelors degree,Business Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",advance,< 1 years
25-29,Male,Japan,Masters degree,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",basic,1-2 years
25-29,Male,India,Masters degree,Other,250-999 employees,No (we do not use ML methods),"4,000-4,999",basic,1-2 years
18-21,Male,India,Bachelors degree,Other,"> 10,000 employees",I do not know,"4,000-4,999",basic,I have never written code
30-34,Female,United States of America,Doctoral degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,5-10 years
25-29,Male,India,Bachelors degree,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",advance,1-2 years
30-34,Male,United States of America,Bachelors degree,Data Engineer,50-249 employees,No (we do not use ML methods),"100,000-124,999",advance,3-5 years
45-49,Male,Taiwan,Masters degree,DBA/Database Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",basic,1-2 years
55-59,Male,United States of America,Doctoral degree,Research Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,< 1 years
40-44,Male,Taiwan,Doctoral degree,Student,,,,advance,5-10 years
22-24,Male,Hong Kong (S.A.R.),Masters degree,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",basic,3-5 years
45-49,Male,China,Professional Course,Data Analyst,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999",advance,3-5 years
40-44,Male,Brazil,Professional Course,Product/Project Manager,50-249 employees,No (we do not use ML methods),"50,000-59,999",advance,1-2 years
45-49,Male,Taiwan,Masters degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",basic,I have never written code
25-29,Female,Canada,Masters degree,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,3-5 years
25-29,Male,Brazil,Masters degree,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","1,000-1,999",advance,3-5 years
45-49,Male,Other,Masters degree,Data Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,20+ years
25-29,Male,United States of America,Bachelors degree,Other,50-249 employees,No (we do not use ML methods),"50,000-59,999",advance,< 1 years
50-54,Male,United States of America,Bachelors degree,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",basic,5-10 years
25-29,Male,Japan,Masters degree,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"4,000-4,999",advance,3-5 years
45-49,Male,United States of America,Bachelors degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,20+ years
25-29,Male,Canada,Masters degree,Data Analyst,"> 10,000 employees",I do not know,"25,000-29,999",advance,1-2 years
25-29,Male,China,Masters degree,Student,,,,advance,1-2 years
40-44,Male,India,Masters degree,Other,"1000-9,999 employees",No (we do not use ML methods),"60,000-69,999",basic,< 1 years
18-21,Male,Taiwan,Bachelors degree,Student,,,,advance,< 1 years
25-29,Male,Viet Nam,Bachelors degree,Business Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",basic,3-5 years
35-39,Male,Australia,Bachelors degree,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",advance,5-10 years
30-34,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years
30-34,Male,Brazil,Professional Course,Software Engineer,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",basic,I have never written code
22-24,Male,Viet Nam,Bachelors degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,1-2 years
40-44,Male,United States of America,Masters degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999",advance,20+ years
22-24,Male,India,Bachelors degree,Student,,,,basic,1-2 years
22-24,Male,Indonesia,Bachelors degree,Student,,,,basic,< 1 years
35-39,Female,Malaysia,Bachelors degree,Business Analyst,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",intermediate,1-2 years
35-39,Male,Other,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,3-5 years
45-49,Male,Taiwan,Masters degree,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,1-2 years
30-34,Female,United States of America,Masters degree,Student,,,,intermediate,I have never written code
40-44,Male,India,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,3-5 years
45-49,Male,United States of America,Bachelors degree,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",intermediate,20+ years
40-44,Male,United States of America,Professional Course,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",advance,3-5 years
45-49,Male,United States of America,Bachelors degree,Software Engineer,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,20+ years
25-29,Male,Singapore,Bachelors degree,Data Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,advance,< 1 years
30-34,Male,Brazil,Masters degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,10-20 years
25-29,Female,India,Doctoral degree,Statistician,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,3-5 years
30-34,Male,Colombia,Masters degree,Product/Project Manager,"1000-9,999 employees",No (we do not use ML methods),"30,000-39,999",basic,< 1 years
22-24,Male,Brazil,Masters degree,Data Scientist,50-249 employees,No (we do not use ML methods),$0-999,intermediate,1-2 years
22-24,Male,Portugal,Masters degree,Student,,,,basic,< 1 years
30-34,Female,United States of America,Masters degree,Student,,,,basic,1-2 years
35-39,Male,China,Bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),"40,000-49,999",advance,1-2 years
22-24,Male,Hong Kong (S.A.R.),Masters degree,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"3,000-3,999",advance,1-2 years
40-44,Female,Singapore,Doctoral degree,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"50,000-59,999",basic,< 1 years
50-54,Male,United States of America,Professional Course,Software Engineer,250-999 employees,No (we do not use ML methods),"80,000-89,999",intermediate,3-5 years
30-34,Male,United States of America,Doctoral degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,10-20 years
30-34,Female,Taiwan,Bachelors degree,Data Analyst,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","1,000-1,999",advance,3-5 years
30-34,Male,United States of America,Bachelors degree,Data Analyst,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"200,000-249,999",basic,1-2 years
18-21,Female,Egypt,Bachelors degree,Student,,,,basic,< 1 years
22-24,Male,Pakistan,Bachelors degree,Student,,,,basic,1-2 years
25-29,Male,Taiwan,Masters degree,Student,,,,advance,< 1 years
22-24,Male,India,Masters degree,Student,,,,advance,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,advance,I have never written code
40-44,Male,Singapore,Masters degree,Business Analyst,"> 10,000 employees",I do not know,"70,000-79,999",basic,< 1 years
18-21,Male,India,Bachelors degree,Student,,,,basic,1-2 years
60-69,Male,United States of America,Doctoral degree,Research Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",intermediate,20+ years
