age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml,viz_frameworks,ml_frameworks
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years," Ggplot / ggplot2 , Matplotlib ", Keras 
30-34,Male,Brazil,Doctoral,Student,,,,basic,< 1 years, Seaborn ,  Scikit-learn 
35-39,Male,Belgium,Masters,Other,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
18-21,Male,India,Bachelors,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Bokeh , Seaborn ","  Scikit-learn , RandomForest"
22-24,Male,India,Masters,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,< 1 years," Plotly / Plotly Express , Seaborn , Geoplotlib ",  TensorFlow 
50-54,Male,United States of America,Masters,Product/Project Manager,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Shiny , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret , LightGBM "
60-69,Female,United States of America,Doctoral,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"300,000-500,000",advance,I have never written code,,
55-59,Male,France,Doctoral,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","300,000-500,000",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
30-34,Male,Mexico,Doctoral,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",advance,5-10 years," Matplotlib , D3.js , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
25-29,Male,United States of America,Masters,Business Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",basic,3-5 years," Matplotlib , Plotly / Plotly Express ",  Scikit-learn 
25-29,Male,India,Bachelors,Other,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"7,500-9,999",basic,< 1 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Bokeh ","  Scikit-learn ,  TensorFlow , Keras , Xgboost "
22-24,Male,Other,Coursework,Student,,,,basic,< 1 years,,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
25-29,Male,India,Masters,Student,,,,advance,< 1 years," Matplotlib , Seaborn ",  Scikit-learn 
40-44,Male,United States of America,Masters,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,3-5 years," Matplotlib , D3.js ","  Scikit-learn , Xgboost , Spark MLib "
22-24,Male,Mexico,Bachelors,Student,,,,intermediate,1-2 years, Matplotlib ,"  TensorFlow , Keras "
22-24,Male,Bangladesh,Bachelors,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
22-24,Male,Italy,Masters,Student,,,,basic,1-2 years, Matplotlib ,"  Scikit-learn , Keras "
45-49,Female,Russia,Doctoral,Research Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
30-34,Male,Pakistan,Bachelors,Other,"> 10,000 employees",No (we do not use ML methods),"10,000-14,999",advance,1-2 years,,
35-39,Female,South Africa,Bachelors,Student,,,,intermediate,< 1 years,,
25-29,Male,Russia,Masters,Other,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
50-54,Male,Canada,Masters,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,< 1 years," Ggplot / ggplot2 , Matplotlib ",  TensorFlow 
45-49,Male,Kenya,Doctoral,Student,,,,advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , PyTorch "
25-29,Male,United States of America,Bachelors,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"90,000-99,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Seaborn ",
55-59,Male,Poland,Masters,Other,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",advance,3-5 years, Matplotlib ,"  TensorFlow , Keras "
22-24,Female,Ukraine,Masters,Statistician,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , RandomForest"
30-34,Female,Spain,Doctoral,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn "," Keras , Xgboost , LightGBM "
35-39,Male,Tunisia,Coursework,Product/Project Manager,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,I have never written code,,
18-21,Male,India,Coursework,Student,,,,basic,1-2 years," Ggplot / ggplot2 , Matplotlib , D3.js , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","> $500,000",intermediate,10-20 years," Matplotlib , Shiny , Bokeh ","  Scikit-learn , Keras , RandomForest, Xgboost , PyTorch , Spark MLib "
25-29,Male,Germany,Doctoral,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,3-5 years," Shiny , D3.js , Plotly / Plotly Express ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
25-29,Male,United States of America,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,5-10 years," Ggplot / ggplot2 , Shiny ","  Scikit-learn , RandomForest"
45-49,Male,Portugal,Doctoral,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",advance,10-20 years, Matplotlib ,  Scikit-learn 
55-59,Male,Mexico,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,1-2 years,,
40-44,Female,India,Doctoral,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras "
40-44,Male,Belgium,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,10-20 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , Xgboost "
22-24,Male,United States of America,Bachelors,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Xgboost , PyTorch "
22-24,Male,United States of America,Bachelors,Software Engineer,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Bokeh ",
30-34,Male,Argentina,Doctoral,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,advance,5-10 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn , RandomForest, Xgboost , PyTorch , LightGBM "
25-29,Male,Japan,Masters,Data Engineer,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,I have never written code,,
25-29,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Shiny , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
30-34,Male,United States of America,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Shiny , Seaborn ","  Scikit-learn , RandomForest, Xgboost , Caret "
18-21,Male,India,Bachelors,Student,,,,intermediate,3-5 years, Matplotlib ,  Scikit-learn 
22-24,Male,India,Masters,Student,,,,advance,< 1 years," Matplotlib , Seaborn ",  Scikit-learn 
35-39,Male,United States of America,Masters,Product/Project Manager,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest"
25-29,Male,Mexico,Coursework,Data Analyst,250-999 employees,No (we do not use ML methods),"4,000-4,999",basic,< 1 years," Ggplot / ggplot2 , Bokeh , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
50-54,Female,United States of America,Masters,DBA/Database Engineer,50-249 employees,No (we do not use ML methods),"80,000-89,999",basic,20+ years, Ggplot / ggplot2 ," RandomForest, Xgboost , Caret , LightGBM "
22-24,Male,Mexico,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Seaborn ",  Scikit-learn 
35-39,Female,Canada,Bachelors,Data Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Bokeh , Seaborn ",  Scikit-learn 
45-49,Male,South Korea,Coursework,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",intermediate,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , Keras "
40-44,Male,United States of America,Masters,Data Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"200,000-249,999",advance,10-20 years,,"  Scikit-learn ,  TensorFlow "
60-69,Female,India,Masters,Student,,,,basic,I have never written code,,
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",intermediate,< 1 years, Bokeh ,"  TensorFlow , Keras "
25-29,Male,India,Bachelors,Data Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"5,000-7,499",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest, Xgboost , PyTorch , LightGBM "
25-29,Male,Brazil,Coursework,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,3-5 years, Ggplot / ggplot2 ,"  Scikit-learn , Xgboost , Caret "
25-29,Male,United States of America,Doctoral,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,1-2 years, Plotly / Plotly Express ,"  Scikit-learn , PyTorch "
30-34,Female,United States of America,Doctoral,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , PyTorch , Spark MLib "
45-49,Male,Ireland,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,5-10 years," Matplotlib , Shiny , D3.js , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, PyTorch "
30-34,Male,Italy,Doctoral,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,5-10 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , PyTorch "
25-29,Female,United States of America,Masters,Data Analyst,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,3-5 years, Ggplot / ggplot2 ,
40-44,Male,Singapore,Masters,Data Analyst,"> 10,000 employees",No (we do not use ML methods),"70,000-79,999",advance,5-10 years, Ggplot / ggplot2 ," RandomForest, Xgboost "
22-24,Male,United States of America,Bachelors,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),"50,000-59,999",intermediate,< 1 years, Matplotlib ,"  Scikit-learn , RandomForest"
30-34,Female,Canada,Masters,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",intermediate,I have never written code,,
60-69,Male,United States of America,Masters,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"150,000-199,999",intermediate,20+ years," Matplotlib , Seaborn ","  Scikit-learn , Xgboost "
35-39,Male,United States of America,Doctoral,Other,0-49 employees,No (we do not use ML methods),"50,000-59,999",advance,10-20 years," Matplotlib , Seaborn ",  Scikit-learn 
35-39,Female,Spain,Doctoral,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",advance,10-20 years," Plotly / Plotly Express , Seaborn ",
22-24,Male,Argentina,Masters,Business Analyst,"> 10,000 employees",No (we do not use ML methods),"5,000-7,499",basic,< 1 years," Matplotlib , Seaborn "," Xgboost , LightGBM "
25-29,Male,Germany,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,3-5 years," Ggplot / ggplot2 , Shiny ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret "
25-29,Female,Belarus,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,5-10 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
30-34,Male,United States of America,Doctoral,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",advance,3-5 years, Matplotlib , PyTorch 
60-69,Male,Sweden,Coursework,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,5-10 years," Ggplot / ggplot2 , Shiny ","  Scikit-learn , RandomForest, Xgboost , Caret "
45-49,Male,Mexico,Bachelors,Data Scientist,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,20+ years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
50-54,Female,Canada,Masters,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Spark MLib "
35-39,Male,South Korea,Doctoral,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,3-5 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Spark MLib "
40-44,Male,Other,Coursework,Other,0-49 employees,No (we do not use ML methods),"10,000-14,999",advance,< 1 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
18-21,Male,India,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , Xgboost , PyTorch , LightGBM "
40-44,Male,Spain,Doctoral,Research Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",intermediate,10-20 years," Matplotlib , Seaborn ",  Scikit-learn 
35-39,Male,Italy,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,10-20 years," Matplotlib , Bokeh ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
18-21,Male,India,Bachelors,Student,,,,basic,< 1 years," Matplotlib , Plotly / Plotly Express ","  Scikit-learn ,  TensorFlow , RandomForest"
40-44,Male,Nigeria,Doctoral,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"5,000-7,499",basic,1-2 years," Ggplot / ggplot2 , Matplotlib ",  Scikit-learn 
25-29,Male,Colombia,Bachelors,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch , LightGBM "
18-21,Female,India,Masters,Student,,,,basic,3-5 years,,"  TensorFlow , RandomForest, Xgboost , PyTorch "
30-34,Female,Japan,Doctoral,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest, Xgboost , LightGBM "
40-44,Male,United States of America,Doctoral,Software Engineer,250-999 employees,No (we do not use ML methods),"125,000-149,999",intermediate,10-20 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , Xgboost "
35-39,Male,United States of America,Masters,Data Analyst,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn , Xgboost , Caret "
35-39,Male,Chile,Masters,Statistician,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",advance,10-20 years," Ggplot / ggplot2 , Shiny ", Caret 
22-24,Male,Russia,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",advance,< 1 years, Plotly / Plotly Express ,"  Scikit-learn , Keras , RandomForest, Xgboost , PyTorch , LightGBM "
30-34,Male,United States of America,Coursework,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years, Ggplot / ggplot2 ,"  Scikit-learn , Caret "
45-49,Other,Germany,Masters,Data Engineer,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,20+ years, Shiny ," RandomForest, Xgboost , PyTorch , Caret "
40-44,Male,India,Masters,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",basic,5-10 years, Seaborn ,"  Scikit-learn ,  TensorFlow , Keras "
22-24,Male,India,Bachelors,Student,,,,advance,I have never written code,,
25-29,Male,Bangladesh,Masters,Data Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,basic,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, PyTorch "
30-34,Male,France,Masters,Student,,,,basic,< 1 years, Matplotlib ,
22-24,Male,Russia,Bachelors,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,3-5 years," Matplotlib , Seaborn ","  TensorFlow , Keras , PyTorch "
30-34,Male,Other,Masters,Statistician,"1000-9,999 employees",I do not know,"1,000-1,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ",
25-29,Male,United States of America,Masters,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , PyTorch "
25-29,Female,United States of America,Masters,Student,,,,advance,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ",
25-29,Male,Portugal,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
22-24,Female,Turkey,Bachelors,Student,,,,advance,I have never written code,,
60-69,Male,United States of America,Bachelors,Data Engineer,250-999 employees,I do not know,"90,000-99,999",intermediate,20+ years," Matplotlib , Seaborn ",
45-49,Male,Japan,Coursework,Research Scientist,50-249 employees,No (we do not use ML methods),"70,000-79,999",advance,10-20 years," Ggplot / ggplot2 , Matplotlib , Altair , Shiny , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest, PyTorch "
25-29,Male,Japan,Masters,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,1-2 years, Seaborn ,"  Scikit-learn ,  TensorFlow , Keras , PyTorch "
22-24,Female,United Kingdom of Great Britain and Northern Ireland,Bachelors,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,3-5 years,,  Scikit-learn 
30-34,Male,India,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
30-34,Male,Poland,Masters,Data Analyst,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"3,000-3,999",advance,10-20 years,, Spark MLib 
30-34,Male,United States of America,Doctoral,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,5-10 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
25-29,Male,Germany,Masters,Student,,,,advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , Caret "
22-24,Female,India,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  TensorFlow , Keras "
40-44,Male,Peru,Coursework,Data Analyst,"1000-9,999 employees",No (we do not use ML methods),$0-999,advance,< 1 years," Matplotlib , Seaborn ","  TensorFlow , Keras "
40-44,Male,Thailand,Doctoral,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib ",
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Student,,,,advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  TensorFlow , PyTorch "
30-34,Male,United States of America,Doctoral,Student,,,,advance,3-5 years," Ggplot / ggplot2 , Shiny ", RandomForest
30-34,Male,Netherlands,Bachelors,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,10-20 years," Ggplot / ggplot2 , Matplotlib , Shiny , D3.js , Bokeh , Seaborn , Geoplotlib , Leaflet / Folium ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, PyTorch "
22-24,Male,Brazil,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,3-5 years," Matplotlib , D3.js , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
30-34,Female,United States of America,Doctoral,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,5-10 years, Matplotlib ,  Scikit-learn 
50-54,Male,United States of America,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,20+ years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost "
45-49,Male,Other,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,I have never written code,,
18-21,Female,India,Bachelors,Student,,,,basic,I have never written code,,
30-34,Male,United States of America,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",intermediate,10-20 years, Ggplot / ggplot2 , RandomForest
35-39,Male,Brazil,Doctoral,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
35-39,Male,United States of America,Bachelors,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999",advance,10-20 years, D3.js ," RandomForest, Xgboost "
25-29,Female,United States of America,Doctoral,Student,,,,advance,1-2 years, Ggplot / ggplot2 ,
22-24,Male,Kenya,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,basic,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
50-54,Male,Germany,Doctoral,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras "
40-44,Male,Germany,Masters,Data Scientist,50-249 employees,No (we do not use ML methods),"100,000-124,999",advance,5-10 years," Ggplot / ggplot2 , Shiny ", Xgboost 
18-21,Male,India,Masters,Student,,,,advance,1-2 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn , Keras , Xgboost , LightGBM "
40-44,Female,United States of America,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years," Matplotlib , D3.js , Leaflet / Folium ","  Scikit-learn , RandomForest"
30-34,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,5-10 years,,  Scikit-learn 
30-34,Male,United States of America,Bachelors,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years," Ggplot / ggplot2 , D3.js ",
30-34,Male,Canada,Doctoral,Research Scientist,50-249 employees,No (we do not use ML methods),"10,000-14,999",basic,1-2 years," Ggplot / ggplot2 , Matplotlib , Shiny , Plotly / Plotly Express "," RandomForest, Xgboost "
30-34,Female,Japan,Bachelors,Other,"> 10,000 employees",No (we do not use ML methods),"50,000-59,999",basic,< 1 years, Matplotlib ,  Scikit-learn 
22-24,Female,Brazil,Bachelors,Data Scientist,"> 10,000 employees",I do not know,"10,000-14,999",advance,1-2 years," Plotly / Plotly Express , Seaborn ","  Scikit-learn , Xgboost , LightGBM "
30-34,Female,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,3-5 years, Ggplot / ggplot2 ,
60-69,Male,Other,Doctoral,Product/Project Manager,0-49 employees,No (we do not use ML methods),"30,000-39,999",advance,< 1 years, Matplotlib ,
35-39,Male,Israel,Masters,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"70,000-79,999",basic,< 1 years," Matplotlib , Seaborn ",  TensorFlow 
25-29,Male,Other,Doctoral,Other,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",intermediate,5-10 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , LightGBM "
25-29,Male,Peru,Bachelors,Data Analyst,250-999 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",advance,< 1 years," Ggplot / ggplot2 , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM , Spark MLib "
18-21,Male,Other,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
30-34,Male,Canada,Doctoral,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , LightGBM "
35-39,Male,Chile,Coursework,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",basic,< 1 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, LightGBM "
30-34,Male,Mexico,Bachelors,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",advance,1-2 years,,
30-34,Male,Turkey,Coursework,Research Scientist,250-999 employees,No (we do not use ML methods),"10,000-14,999",advance,5-10 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , PyTorch "
